0 (1, 3, 0, 6, 2, 7, 4, 5)
1 (1, 3, 0, 6, 2, 7, 5, 4)
2 (1, 6, 7, 4, 2, 0, 5, 3)
3 (1, 6, 7, 4, 3, 0, 5, 2)
4 (1, 6, 7, 5, 2, 0, 4, 3)
5 (1, 6, 7, 5, 3, 0, 4, 2)
6 (1, 7, 6, 0, 2, 3, 4, 5)
7 (1, 7, 6, 0, 3, 2, 4, 5)
8 (1, 7, 6, 4, 2, 0, 5, 3)
9 (1, 7, 6, 4, 3, 0, 5, 2)
10 (1, 7, 6, 5, 2, 0, 4, 3)
11 (1, 7, 6, 5, 3, 0, 4, 2)
12 (2, 0, 6, 4, 3, 7, 5, 1)
13 (2, 0, 6, 5, 3, 7, 4, 1)
14 (2, 0, 7, 4, 3, 6, 5, 1)
15 (2, 0, 7, 5, 3, 6, 4, 1)
16 (2, 3, 1, 6, 0, 7, 4, 5)
17 (2, 3, 1, 6, 0, 7, 5, 4)
18 (2, 3, 6, 7, 0, 1, 4, 5)
19 (2, 4, 6, 1, 3, 7, 5, 0)
20 (2, 4, 6, 7, 3, 0, 5, 1)
21 (2, 4, 7, 1, 3, 6, 5, 0)
22 (2, 5, 6, 1, 3, 7, 4, 0)
23 (2, 5, 6, 7, 3, 0, 4, 1)
24 (2, 5, 7, 1, 3, 6, 4, 0)
25 (3, 0, 1, 6, 2, 7, 4, 5)
26 (3, 0, 1, 6, 2, 7, 5, 4)
27 (3, 0, 6, 4, 2, 7, 5, 1)
28 (3, 0, 6, 5, 2, 7, 4, 1)
29 (3, 0, 7, 4, 2, 6, 5, 1)
30 (3, 0, 7, 5, 2, 6, 4, 1)
31 (3, 2, 0, 6, 1, 7, 4, 5)
32 (3, 2, 0, 6, 1, 7, 5, 4)
33 (3, 2, 6, 7, 0, 1, 4, 5)
34 (3, 4, 0, 6, 2, 7, 5, 1)
35 (3, 4, 0, 6, 7, 1, 5, 2)
36 (3, 4, 0, 7, 2, 6, 5, 1)
37 (3, 4, 6, 1, 2, 7, 5, 0)
38 (3, 4, 6, 7, 2, 0, 5, 1)
39 (3, 4, 7, 1, 2, 6, 5, 0)
40 (3, 5, 0, 6, 2, 7, 4, 1)
41 (3, 5, 0, 7, 2, 6, 4, 1)
42 (3, 5, 6, 1, 2, 7, 4, 0)
43 (3, 5, 6, 7, 2, 0, 4, 1)
44 (3, 5, 7, 1, 2, 6, 4, 0)
45 (3, 6, 0, 1, 2, 7, 4, 5)
46 (3, 6, 0, 1, 2, 7, 5, 4)
47 (3, 7, 0, 6, 2, 1, 4, 5)
48 (3, 7, 0, 6, 2, 1, 5, 4)
49 (4, 2, 6, 0, 3, 7, 5, 1)
50 (4, 2, 6, 5, 3, 7, 0, 1)
51 (4, 2, 6, 7, 3, 1, 5, 0)
52 (4, 2, 7, 0, 3, 6, 5, 1)
53 (4, 2, 7, 5, 3, 6, 0, 1)
54 (4, 3, 1, 6, 2, 7, 0, 5)
55 (4, 3, 1, 7, 2, 6, 0, 5)
56 (4, 3, 6, 0, 2, 7, 5, 1)
57 (4, 3, 6, 5, 2, 7, 0, 1)
58 (4, 3, 6, 7, 2, 1, 5, 0)
59 (4, 3, 7, 0, 2, 6, 5, 1)
60 (4, 3, 7, 5, 2, 6, 0, 1)
61 (4, 6, 7, 5, 2, 1, 0, 3)
62 (4, 6, 7, 5, 3, 1, 0, 2)
63 (4, 7, 6, 5, 2, 1, 0, 3)
64 (4, 7, 6, 5, 3, 1, 0, 2)
65 (5, 2, 6, 0, 3, 7, 4, 1)
66 (5, 2, 6, 4, 3, 7, 0, 1)
67 (5, 2, 6, 7, 3, 1, 4, 0)
68 (5, 2, 7, 0, 3, 6, 4, 1)
69 (5, 2, 7, 4, 3, 6, 0, 1)
70 (5, 3, 1, 6, 2, 7, 0, 4)
71 (5, 3, 1, 7, 2, 6, 0, 4)
72 (5, 3, 6, 0, 2, 7, 4, 1)
73 (5, 3, 6, 4, 2, 7, 0, 1)
74 (5, 3, 6, 7, 2, 1, 4, 0)
75 (5, 3, 7, 0, 2, 6, 4, 1)
76 (5, 3, 7, 4, 2, 6, 0, 1)
77 (5, 6, 7, 4, 2, 1, 0, 3)
78 (5, 6, 7, 4, 3, 1, 0, 2)
79 (5, 7, 6, 4, 2, 1, 0, 3)
80 (5, 7, 6, 4, 3, 1, 0, 2)
81 (6, 3, 1, 0, 2, 7, 4, 5)
82 (6, 3, 1, 0, 2, 7, 5, 4)
83 (6, 7, 1, 4, 2, 0, 5, 3)
84 (6, 7, 1, 4, 3, 0, 5, 2)
85 (6, 7, 1, 5, 2, 0, 4, 3)
86 (6, 7, 1, 5, 3, 0, 4, 2)
87 (7, 0, 6, 1, 2, 3, 4, 5)
88 (7, 0, 6, 1, 3, 2, 4, 5)
89 (7, 3, 1, 6, 2, 0, 4, 5)
90 (7, 3, 1, 6, 2, 0, 5, 4)
91 (7, 6, 1, 4, 2, 0, 5, 3)
92 (7, 6, 1, 4, 3, 0, 5, 2)
93 (7, 6, 1, 5, 2, 0, 4, 3)
94 (7, 6, 1, 5, 3, 0, 4, 2)
